Provinz;WorldArea;Region;Nation;IPC;Naval-Base;Air Base;Minor Ind.;Major Ind.;"Supplie
Route";INF;M.INF;ARI;TANK;AAA;FIGHTER;T.BOMB;S.BOMB;SUB;DEST;CRUISER;B.SHIP;CARRIER;CARRIER (F);CARRIER (FF);CARRIER (FT);CARRIER (T);CARRIER (TT);CAR;CAR(I);CAR (II);CAR (IM);CAR (IT);CAR (IA);CAR (IAAA);Allies
Seaside 80;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 81;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 82;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 83;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 84;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 85;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 86;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 87;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 88;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 89;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 90;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 91;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 92;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 93;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 94;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 95;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 96;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 97;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 98;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 99;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 100;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 101;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 102;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 103;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 104;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 105;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 106;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 107;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 108;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 109;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 110;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 111;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 112;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 113;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 114;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 115;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 116;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 117;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 118;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 119;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 120;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 121;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 122;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 123;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 124;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 125;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 126;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 127;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Afghanistan;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alaska;N/A;;US;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Albania;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alberta Saskatchewan Manitoba;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aleutian Island;N/A;;US;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alexandria;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Algeria;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amur;EP;RuAsia;N/A;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anglo Egyptian Sudan;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Angola;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anhwe;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Archangel;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentinia;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Baltic States;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Belgian Congo;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bessarabia;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bolivia;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Borneo;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brazil;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
British Guiana;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
British Somaliland;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bryansk;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bulgaria;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Burma;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Buryatia;EP;RuAsia;N/A;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Buyant-Uhaa;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Caroline Islands;WP;;JP;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Caucasus;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Celebes;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Central America;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Central Mongolia;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Central Unit States;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ceylon;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chahar;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chile;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Colombia;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Crete;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cyprus;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Denmark;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dutch New Guinea;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dzavhan;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eastern Persia;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eastern Unit States;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ecuador;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Egypt;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eire;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Estern Poland;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ethiopia;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Evenkiyskiy;EP;RuAsia;N/A;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fiji;N/A;;GBP;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Finland;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Formosa;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
French Central Africa;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
French Equatorial Africa ;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
French Guiana;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
French Indo China;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
French Madagascar;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
French West Africa;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Germany;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gibralter;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gilbert Islands;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gilbert Islands;N/A;;GBP;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gold Coast;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Greater Southern Germany;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Greece;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Greenland;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guam;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hainan;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hawaiian Islands;N/A;;US;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Holland Belgium;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hopei;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hunan;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Iceland;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
India;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Iraq;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Italian Somaliland;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Iwo Jima;N/A;;JP;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Japan;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Java;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jehol;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Johnston Islands;N/A;;US;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kansu;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Karelia;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kazakhstan;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kenya;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kiangsi;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kiangsu;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Korea;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kwangsi;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kwangtung;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kweichow;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Liberia;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Line Islands;N/A;;US;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lybia;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Malaya;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Manchuria;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Manila;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Marianas;N/A;;JP;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Marshall Islands;N/A;;JP;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mexico;N/A;;US;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Midway;N/A;;US;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Moroco;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mozambique;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nenetsia;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
New Britain;N/A;;ANZAC;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
New Brunswick Nova Scotia;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
New Guinea;N/A;;ANZAC;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
New Hebrides;N/A;;FR;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
New South Wales;N/A;;ANZAC;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
New Zealand;N/A;;ANZAC;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Newfoundland Labrador;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nigeria;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Normandy Bordeaux;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Northern Italy;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Northern Territory;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Northwest Persia;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Norway;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Novgorod;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Novosibirsk;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Okinawa;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Olgiy;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ontario;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Palau Island;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paraguay;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Persia;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Peru;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Phillipines;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Poland;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Portugal;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Portuguese Guinea;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Quebec;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Queensland;N/A;;ANZAC;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rhodesia;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rio de Oro;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Romania;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rostov;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Russia;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sakha;EP;RuAsia;N/A;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Samara;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Samoa;N/A;;GBP;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sardinia;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Saudi Arabia;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Scotland;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Shan State;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Shantung;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Shensi;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Siam;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Siberia;EP;RuAsia;N/A;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sicily;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sierra Leone;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sikang;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Slovakia Hungary;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Smolensk;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Solomon Islands;N/A;;ANZAC;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
South Australia;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
South East Mexico;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
South West Africa;N/A;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
